,Unnamed: 0,date,open,high,low,close,volume,adj close,dates,SMA_close,EMA_close,SMA_high,EMA_high,SMA_low,EMA_low,SMA_open,EMA_open,color,CRUP,CRDOWN,cancel
435,435,2012-03-20,34.98,35.200001,34.57,34.959999,567000,34.959999,2012-03-20,35.29875,34.95623209611314,35.76000025,35.37109179067263,34.6025,34.44524349439846,35.102499625,34.94981371599661,,,,
436,436,2012-03-21,34.939999,35.299999,34.599998,35.150002,607200,35.150002,2012-03-21,35.35,34.99929207475466,35.75875,35.35529339274538,34.777499625000004,34.479633384532136,35.319999374999995,34.94763266799737,,,,
437,437,2012-03-22,34.970001,35.150002,34.299999,34.400002,522400,34.400002,2012-03-22,35.148750500000006,34.86611650258696,35.61625012499999,35.30967308324641,34.739999749999996,34.43971463241388,35.354999625,34.9526034084424,red,,,
438,438,2012-03-23,34.259998,34.630001,33.150002,34.080002,1170600,34.080002,2012-03-23,34.89750075,34.69142439090097,35.37125025,35.15863484252498,34.44624999999999,34.1531118252108,35.073749625,34.7986910954552,red,,,
439,439,2012-03-26,35.59,38.09,35.040001000000004,37.400002,3140500,37.400002,2012-03-26,35.161250875,35.29333052625631,35.63250025,35.810049321963874,34.47625025,34.35019830849729,35.022499624999995,34.97453751868738,yellow,,,
440,440,2012-03-27,37.16,39.950001,37.029999,37.939999,2539200,37.939999,2012-03-27,35.52875075,35.88147907597713,36.191250375,36.73003858374968,34.75750024999999,34.94570957327567,35.257499749999994,35.46019584786796,green,,,
441,441,2012-03-28,37.779999,38.439999,37.110001,37.849998,955000,37.849998,2012-03-28,35.8450005,36.31892772575999,36.510000375000004,37.110029787360865,35.042500125,35.426663223658856,35.617499375,35.97570765945286,green,,,
442,442,2012-03-29,38.189999,38.189999,37.029999,37.330002,796400,37.330002,2012-03-29,36.13875075,36.54361089781332,36.86875025,37.350022945725115,35.353749875,35.782960062845774,35.9837495,36.467772401796665,orange,,,
443,443,2012-03-30,37.52,37.939999,36.68,37.240002,886400,37.240002,2012-03-30,36.423751125,36.69836447607703,37.21125,37.48112873556398,35.617499875,35.98230227110227,36.3012495,36.70160075695296,,,True,
444,444,2012-04-02,37.330002,37.970001,36.529999,36.580002,1028600,36.580002,2012-04-02,36.602501124999996,36.67206170361547,37.54500025,37.589767016549764,35.85875,36.104012655301766,36.599999875,36.84124547763008,,,,
445,445,2012-04-03,36.700001,38.470001,36.669998,38.009998,1098100,38.009998,2012-04-03,37.053750625,36.96938088058981,37.96000012500001,37.78537456842759,36.154999875,36.229787176345816,36.816249875,36.80985781593451,green,,,
446,446,2012-04-04,35.27,35.49000200000001,34.689999,35.0,4481800,35.0,2012-04-04,37.168750375,36.531740684903184,38.06750025,37.275291775443684,36.3474995,35.887612026046746,36.942500125,36.467667190171284,purple,,,
447,447,2012-04-05,35.099998,35.439999,34.41,34.48,1509400,34.48,2012-04-05,36.80375012500001,36.07579831048025,37.736250125,36.8674489364562,36.268749375,35.55925379803636,36.881249874999995,36.16374070346655,red,,,
448,448,2012-04-09,34.099998,34.290001000000004,33.099998,33.150002,1655700,33.150002,2012-04-09,36.2050005,35.425621352595755,37.028750125,36.29468272835482,35.77749925,35.012752509583834,36.498749625,35.70513121380732,red,,,
449,449,2012-04-10,33.150002,33.849998,32.099998,32.459999,1847700,32.459999,2012-04-10,35.531250625,34.76659416313003,36.455,35.75141945538709,35.15124887499999,34.36547372967632,35.92,35.137324721850135,red,,,
450,450,2012-04-11,33.240002000000004,33.290001000000004,32.009998,33.09,1105500,33.09,2012-04-11,35.001250375,34.394017682434466,35.84250025,35.20443757641218,34.52374875,33.842034678637134,35.301250375,34.71569745032788,red,,,
451,451,2012-04-12,33.77,34.48,32.919998,33.439999,1033900,33.439999,2012-04-12,34.526250000000005,34.18201353078236,35.410000375,35.04345144832059,34.0537485,33.63713763893999,34.832500375,34.50554246136613,red,,,
452,452,2012-04-13,33.939999,34.040001000000004,32.849998,33.59,649600,33.59,2012-04-13,34.152499750000004,34.05045496838628,34.918750375,34.8204624598049,33.593748375,33.46221771917555,34.40875,34.379866136618105,,,,
453,453,2012-04-16,33.41,33.700001,32.09,32.25,1099600,32.25,2012-04-16,33.432500000000005,33.65035386430044,34.322500375,34.5714710242927,33.021248625,33.15728044824765,33.997499875,34.16434032848075,red,,,
454,454,2012-04-17,32.43,33.07,32.040001000000004,32.240002000000004,1115500,32.240002000000004,2012-04-17,33.087500250000005,33.33694233890034,34.020000124999996,34.2378107966721,32.689998875,32.908996126414834,33.642499875,33.77893136659614,red,,,
455,455,2012-04-18,32.09,32.75,31.530001,32.66,823100,32.66,2012-04-18,32.86000025,33.1865107080336,33.683750249999996,33.90718617518941,32.329999,32.60255276498931,33.266250125,33.403613285130334,blue,,,
456,456,2012-04-19,32.75,33.43,32.5,33.16,774900,33.16,2012-04-19,32.86125,33.18061943958169,33.576250125,33.801144802925094,32.25499925,32.57976326165836,33.097500375,33.2583658884347,,True,,
457,457,2012-04-20,33.139999,33.73,32.939999,33.16,821800,33.16,2012-04-20,32.948750125000004,33.17603734189687,33.561250375,33.785334846719515,32.359999375,32.6598156479565,33.096250000000005,33.23206213544921,,True,,
458,458,2012-04-23,32.860001000000004,32.970001,31.709999,31.940001,890800,31.940001,2012-04-23,32.80500025,32.901362599253126,33.521250375,33.604149547448515,32.3224995,32.448745281743946,33.048749875000006,33.14938188312716,red,,,True
459,459,2012-04-24,31.82,32.200001,31.0,31.82,674500,31.82,2012-04-24,32.602500375,32.6610597994191,33.2362505,33.2921165369044,32.08249975,32.126801885800845,32.804999875,32.85396368687668,red,,,
460,460,2012-04-25,32.07,32.990002000000004,32.07,32.91,712200,32.91,2012-04-25,32.517500375,32.716379843992634,33.105000625,33.22497997314787,31.985000000000003,32.11417924451177,32.57125,32.679749534237416,blue,,,
461,461,2012-04-26,32.959999,33.52,32.91,33.490002000000004,425300,33.490002000000004,2012-04-26,32.672500625,32.88829587866094,33.082500499999995,33.29053997911501,32.0875,32.29102830128693,32.514999875,32.74202719329577,green,True,,
462,462,2012-04-27,33.599998,33.630001,32.91,33.34,591000,33.34,2012-04-27,32.810000375,32.98867457229184,33.152500625,33.365975761533896,32.196249875,32.42857756766761,32.661249624999996,32.93268737256338,orange,True,,True
463,463,2012-04-30,33.27,33.360001000000004,32.580002,33.130001,413900,33.130001,2012-04-30,32.8687505,33.02008044511588,33.228750749999996,33.364648036748584,32.32749999999999,32.46222744151925,32.808749625,33.00764573421596,,,True,True
464,464,2012-05-01,33.130001,34.209999,33.130001,33.779999,659000,33.779999,2012-05-01,32.946250375,33.18895123509013,33.326250625,33.55250380636001,32.406250125,32.61062156562608,32.85624975,33.03483579327908,green,,,
465,465,2012-05-02,33.5,34.389999,33.389999,33.939999,497300,33.939999,2012-05-02,33.04375025,33.35585073840343,33.408750500000004,33.738613849391115,32.462500125,32.78381655104251,32.901249875000005,33.13820561699484,green,,,
466,466,2012-05-03,33.91,34.0,32.130001,32.459999,841300,32.459999,2012-05-03,33.10875,33.156772574313784,33.537500375,33.796699660637536,32.515000375,32.6385242063664,33.03249975,33.30971547988487,purple,,,
467,467,2012-05-04,32.32,32.459999,31.4,31.83,1247500,31.83,2012-05-04,33.11,32.861934224466275,33.570000125,33.49965506938475,32.565000375,32.36329660495164,33.09499975,33.08977870657712,red,,,
468,468,2012-05-07,31.959999,32.580002,31.610001,32.470001,1158000,32.470001,2012-05-07,33.05500012500001,32.77483795236266,33.518750125000004,33.29528772063259,32.5075005,32.195897581629055,33.081249625,32.83871654955998,blue,,,
469,469,2012-05-08,32.5,32.73,29.370001,30.190001,3097200,30.190001,2012-05-08,32.642500000000005,32.20042974072651,33.42000012500001,33.16966822715868,32.065000624999996,31.567920563489263,33.02374975,32.76344620521332,red,,,
470,470,2012-05-09,30.299999,30.77,29.76,30.059999,1947900,30.059999,2012-05-09,32.232499874999995,31.72477846500951,33.0625,32.636408621123415,31.671250625000003,31.166160438269426,32.611249875,32.216013492943695,red,,,True
471,471,2012-05-10,32.970001,34.68,32.400002,32.959999,5556300,32.959999,2012-05-10,32.211249625,31.99927191722962,33.227499875,33.09054003865155,31.648750625,31.440347451987332,32.573750000000004,32.38356627228954,,,,
472,472,2012-05-11,32.490002000000004,33.439999,32.16,32.25,1221300,32.25,2012-05-11,32.019999750000004,32.05498926895637,33.131249875,33.16819758561787,31.527500500000002,31.60027024043459,32.493750125000005,32.4072186562252,,,,
473,473,2012-05-14,31.92,32.130001,30.049999,30.059999,1380900,30.059999,2012-05-14,31.53499975,31.611658098077175,32.848750125,32.937487233258345,31.110000499999998,31.255765520338013,32.296250125,32.29894784373071,red,,,
474,474,2012-05-15,30.26,30.959999,29.219999,29.43,1585700,29.43,2012-05-15,31.156249875000004,31.126845187393357,32.46875,32.49804540364538,30.74625025,30.803372960262898,31.840000125000003,31.845848322901663,red,,,
475,475,2012-05-16,29.58,30.18,28.879999,29.18,1257100,29.18,2012-05-16,30.824999875000003,30.694212923528166,32.183750124999996,31.982924202835292,30.431250125000002,30.37595652464892,31.497500124999995,31.342326473367958,red,,,
476,476,2012-05-17,29.299999,29.790001,28.24,28.57,1149000,28.57,2012-05-17,30.337499750000003,30.222165607188575,31.835,31.495607935538562,30.01,29.90129951917138,31.165000125,30.888475923730635,red,,,
477,477,2012-05-18,28.370001,28.459999,26.83,27.559999,1616500,27.559999,2012-05-18,30.0087495,29.630573027813337,31.301249875000003,30.821028172085548,29.692499875000003,29.218788514911076,30.648750250000006,30.32881482956827,red,,,
478,478,2012-05-21,27.58,29.26,27.120001,28.77,1475200,28.77,2012-05-21,29.847499625000005,29.439334577188152,31.112499875,30.474133022733206,29.362500000000004,28.752391289375282,30.308750375000002,29.71796708966421,blue,,,
