,date,low,high,open,close,volume
289,2017-11-01,52.55000001,55.5547,55.4713468,52.93047309,1462595.90703285
290,2017-11-02,49.1,54.999,52.93047258,54.24699989,4248265.30182286
291,2017-11-03,53.5211,55.996,54.24,55.6540008,2151006.1706478703
292,2017-11-04,54.011313,55.91739999,55.65400081,54.74832724,1045112.6488240799
293,2017-11-05,54.01,55.40713367,54.69282825,54.61657551,834052.9894887
294,2017-11-06,53.4,55.79999999,54.61657551,54.59011645,1900495.83652533
295,2017-11-07,54.25057011,63.3211,54.62799942,60.62940891,6714750.10721206
296,2017-11-08,59.33,63.4800046,60.59999961,61.9136183,5797923.5516251605
297,2017-11-09,61.16110002,66.61200006,61.90371213,62.98,5112385.44239036
298,2017-11-10,55.76891935,65.3642997,62.98,58.53000007,8215654.43917349
299,2017-11-11,58.14110001,63.7,58.53000012,62.0,6593619.564124249
300,2017-11-12,55.61937176,62.1,62.0,58.29999996,7004991.5170609495
301,2017-11-13,57.87769288,61.5,58.29999996,60.799,5150433.976798831
302,2017-11-14,59.4151695,63.326452,60.8,62.05,3815340.56200068
303,2017-11-15,61.78821447,64.61,62.05815884,63.09999,3362116.16805714
304,2017-11-16,62.21550102,73.99999999,63.09999,70.69999997,8980908.13835906
305,2017-11-17,65.0,71.51349999,70.96874381,67.37999999,7340135.357483392
306,2017-11-18,65.0,69.8,67.18634311,69.30330352,3080853.99216136
307,2017-11-19,68.28222743,73.3,69.69991543,71.71000024,4977630.92399674
308,2017-11-20,70.6649981,73.24314062,71.9080798,72.4,3354044.28746409
309,2017-11-21,68.00000001,73.00602993,72.35000018,69.68485303,5993174.32541015
310,2017-11-22,69.8812295,72.13590518,69.99999955,71.61000305,3081260.07150415
311,2017-11-23,70.36565509,76.39,71.80000997,72.400067,8179169.100168119
312,2017-11-24,71.90000001,77.68,72.40006699,77.4,6394839.28354363
313,2017-11-25,76.8000001,88.73301327,77.4,88.0,11314300.35773951
314,2017-11-26,82.13276761,88.34999996,88.00676736,85.53712639,7106030.68271801
315,2017-11-27,85.22071673,92.45560001,85.5379,90.69999999,8533116.41527185
316,2017-11-28,88.78898992,94.4,90.69999999,93.98999999,6649855.547517379
317,2017-11-29,75.0,102.78989996,93.98999999,83.40131973,22838698.038403995
318,2017-11-30,75.1,91.5,83.5796954,85.7,9905030.8107748
319,2017-12-01,83.01434849,87.08412707,85.7,84.10007604,1632121.6588541
